Frequency, Amplitude
846,52405  0,00001
847,86987  0,00004
849,21570  0,00000
850,56152  0,00002
851,90735  0,00000
853,25317  0,00006
854,59900  0,00000
855,94482  0,00006
857,29065  0,00000
858,63647  0,00001
859,98230  0,00000
861,32812  0,00001
862,67395  0,00001
864,01978  0,00006
865,36560  0,00001
866,71143  0,00002
868,05725  0,00001
869,40308  0,00003
870,74890  0,00002
872,09473  0,00002
873,44055  0,00003
874,78638  0,00000
876,13220  0,00003
877,47803  0,00001
878,82385  0,00004
880,16968  0,00005
881,51550  0,00005
882,86133  0,00003
884,20715  0,00006
885,55298  0,00000
886,89880  0,00005
888,24463  0,00002
889,59045  0,00004
890,93628  0,00001
892,28210  0,00004
893,62793  0,00003
894,97375  0,00003
896,31958  0,00001
897,66541  0,00002
899,01123  0,00003
900,35706  0,00002
901,70288  0,00006
903,04871  0,00001
904,39453  0,00005
905,74036  0,00001
907,08618  0,00005
908,43201  0,00000
909,77783  0,00004
911,12366  0,00000
912,46948  0,00005
913,81531  0,00000
915,16113  0,00005
916,50696  0,00000
917,85278  0,00002
919,19861  0,00000
920,54443  0,00003
921,89026  0,00000
923,23608  0,00001
924,58191  0,00001
925,92773  0,00005
927,27356  0,00001
928,61938  0,00001
929,96521  0,00002
931,31104  0,00005
932,65686  0,00003
934,00269  0,00002
935,34851  0,00003
936,69434  0,00000
938,04016  0,00004
939,38599  0,00003
940,73181  0,00005
942,07764  0,00002
943,42346  0,00006
944,76929  0,00001
946,11511  0,00005
947,46094  0,00001
948,80676  0,00005
950,15259  0,00003
951,49841  0,00004
952,84424  0,00006
954,19006  0,00003
955,53589  0,00004
956,88171  0,00002
958,22754  0,00005
959,57336  0,00002
960,91919  0,00000
962,26501  0,00001
963,61084  0,00003
964,95667  0,00001
966,30249  0,00001
967,64832  0,00000
968,99414  0,00006
970,33997  0,00000
971,68579  0,00005
973,03162  0,00000
974,37744  0,00003
975,72327  0,00000
977,06909  0,00005
978,41492  0,00000
979,76074  0,00005
981,10657  0,00000
982,45239  0,00005
983,79822  0,00001
985,14404  0,00000
986,48987  0,00001
987,83569  0,00005
989,18152  0,00002
990,52734  0,00004
991,87317  0,00003
993,21899  0,00004
994,56482  0,00003
995,91064  0,00002
997,25647  0,00004
998,60229  0,00002
999,94812  0,00005
1001,29395  0,00001
1002,63977  0,00006
1003,98560  0,00002
1005,33142  0,00005
1006,67725  0,00001
1008,02307  0,00005
1009,36890  0,00005
1010,71472  0,00004
1012,06055  0,00004
1013,40637  0,00003
1014,75220  0,00004
1016,09802  0,00002
1017,44385  0,00000
1018,78967  0,00002
1020,13550  0,00006
1021,48132  0,00001
1022,82715  0,00002
1024,17297  0,00001
1025,51880  0,00002
1026,86462  0,00000
1028,21045  0,00005
1029,55627  0,00000
1030,90210  0,00005
1032,24792  0,00000
1033,59375  0,00002
1034,93958  0,00000
1036,28540  0,00004
1037,63123  0,00000
1038,97705  0,00000
1040,32288  0,00000
1041,66870  0,00001
1043,01453  0,00001
1044,36035  0,00005
1045,70618  0,00001
1047,05200  0,00003
1048,39783  0,00002
1049,74365  0,00001
1051,08948  0,00003
1052,43530  0,00006
1053,78113  0,00003
1055,12695  0,00004
1056,47278  0,00004
1057,81860  0,00001
1059,16443  0,00005
1060,51025  0,00000
1061,85608  0,00006
1063,20190  0,00003
1064,54773  0,00006
1065,89355  0,00002
1067,23938  0,00005
1068,58521  0,00006
1069,93103  0,00004
1071,27686  0,00001
1072,62268  0,00003
1073,96851  0,00001
1075,31433  0,00002
1076,66016  0,00005
1078,00598  0,00002
1079,35181  0,00001
1080,69763  0,00001
1082,04346  0,00005
1083,38928  0,00001
1084,73511  0,00006
1086,08093  0,00000
1087,42676  0,00003
1088,77258  0,00000
1090,11841  0,00004
1091,46423  0,00000
1092,81006  0,00001
1094,15588  0,00000
1095,50171  0,00002
1096,84753  0,00000
1098,19336  0,00004
1099,53918  0,00000
1100,88501  0,00004
1102,23083  0,00001
1103,57666  0,00002
1104,92249  0,00001
1106,26831  0,00001
1107,61414  0,00002
1108,95996  0,00002
1110,30579  0,00003
1111,65161  0,00004
1112,99744  0,00003
1114,34326  0,00005
1115,68909  0,00004
1117,03491  0,00000
1118,38074  0,00005
1119,72656  0,00001
1121,07239  0,00006
1122,41821  0,00004
1123,76404  0,00006
1125,10986  0,00004
1126,45569  0,00005
1127,80151  0,00004
1129,14734  0,00004
1130,49316  0,00001
1131,83899  0,00003
1133,18481  0,00003
1134,53064  0,00002
1135,87646  0,00003
1137,22229  0,00002
1138,56812  0,00005
1139,91394  0,00001
1141,25977  0,00000
1142,60559  0,00001
1143,95142  0,00003
1145,29724  0,00000
1146,64307  0,00001
1147,98889  0,00000
1149,33472  0,00004
1150,68054  0,00000
1152,02637  0,00000
1153,37219  0,00000
1154,71802  0,00001
1156,06384  0,00000
1157,40967  0,00004
1158,75549  0,00000
1160,10132  0,00002
1161,44714  0,00001
1162,79297  0,00004
1164,13879  0,00001
1165,48462  0,00005
1166,83044  0,00002
1168,17627  0,00005
1169,52209  0,00002
1170,86792  0,00001
1172,21375  0,00003
1173,55957  0,00005
1174,90540  0,00004
1176,25122  0,00002
1177,59705  0,00005
1178,94287  0,00002
1180,28870  0,00006
1181,63452  0,00005
1182,98035  0,00006
1184,32617  0,00005
1185,67200  0,00005
1187,01782  0,00002
1188,36365  0,00004
1189,70947  0,00004
1191,05530  0,00003
1192,40112  0,00006
1193,74695  0,00002
1195,09277  0,00002
1196,43860  0,00002
1197,78442  0,00001
1199,13025  0,00001
1200,47607  0,00005
1201,82190  0,00001
1203,16772  0,00001
1204,51355  0,00000
1205,85938  0,00002
1207,20520  0,00000
1208,55103  0,00003
1209,89685  0,00000
1211,24268  0,00001
1212,58850  0,00000
1213,93433  0,00004
1215,28015  0,00000
1216,62598  0,00000
1217,97180  0,00000
1219,31763  0,00003
1220,66345  0,00001
1222,00928  0,00003
1223,35510  0,00001
1224,70093  0,00002
1226,04675  0,00002
1227,39258  0,00004
1228,73840  0,00003
1230,08423  0,00001
1231,43005  0,00003
1232,77588  0,00003
1234,12170  0,00004
1235,46753  0,00003
1236,81335  0,00005
1238,15918  0,00004
1239,50500  0,00006
1240,85083  0,00006
1242,19666  0,00006
1243,54248  0,00006
1244,88831  0,00005
1246,23413  0,00000
1247,57996  0,00004
1248,92578  0,00006
1250,27161  0,00003
1251,61743  0,00003
1252,96326  0,00002
1254,30908  0,00006
1255,65491  0,00002
1257,00073  0,00004
1258,34656  0,00001
1259,69238  0,00002
1261,03821  0,00001
1262,38403  0,00005
1263,72986  0,00000
1265,07568  0,00004
1266,42151  0,00000
1267,76733  0,00002
1269,11316  0,00000
1270,45898  0,00002
1271,80481  0,00000
1273,15063  0,00006
1274,49646  0,00000
1275,84229  0,00004
1277,18811  0,00000
1278,53394  0,00004
1279,87976  0,00001
1281,22559  0,00002
1282,57141  0,00001
1283,91724  0,00002
1285,26306  0,00002
1286,60889  0,00001
1287,95471  0,00002
1289,30054  0,00003
1290,64636  0,00003
1291,99219  0,00002
1293,33801  0,00004
1294,68384  0,00004
1296,02966  0,00005
1297,37549  0,00005
1298,72131  0,00006
1300,06714  0,00005
1301,41296  0,00006
1302,75879  0,00004
1304,10461  0,00005
1305,45044  0,00002
1306,79626  0,00004
1308,14209  0,00003
1309,48792  0,00003
1310,83374  0,00001
1312,17957  0,00002
1313,52539  0,00002
1314,87122  0,00002
1316,21704  0,00002
1317,56287  0,00001
1318,90869  0,00004
1320,25452  0,00001
1321,60034  0,00004
1322,94617  0,00000
1324,29199  0,00006
1325,63782  0,00000
1326,98364  0,00002
1328,32947  0,00000
1329,67529  0,00002
1331,02112  0,00000
1332,36694  0,00004
1333,71277  0,00000
1335,05859  0,00005
1336,40442  0,00000
1337,75024  0,00001
1339,09607  0,00001
1340,44189  0,00004
1341,78772  0,00001
1343,13354  0,00006
1344,47937  0,00002
1345,82520  0,00003
1347,17102  0,00002
1348,51685  0,00006
1349,86267  0,00003
1351,20850  0,00000
1352,55432  0,00004
1353,90015  0,00006
1355,24597  0,00005
1356,59180  0,00006
1357,93762  0,00006
1359,28345  0,00004
1360,62927  0,00006
1361,97510  0,00003
1363,32092  0,00005
1364,66675  0,00003
1366,01257  0,00004
1367,35840  0,00001
1368,70422  0,00003
1370,05005  0,00004
1371,39587  0,00002
1372,74170  0,00002
1374,08752  0,00002
1375,43335  0,00003
1376,77917  0,00001
1378,12500  0,00003
1379,47083  0,00001
1380,81665  0,00000
1382,16248  0,00000
1383,50830  0,00004
1384,85413  0,00000
1386,19995  0,00001
1387,54578  0,00000
1388,89160  0,00003
1390,23743  0,00000
1391,58325  0,00002
1392,92908  0,00000
1394,27490  0,00001
1395,62073  0,00000
1396,96655  0,00005
1398,31238  0,00001
1399,65820  0,00001
1401,00403  0,00001
1402,34985  0,00002
1403,69568  0,00002
1405,04150  0,00006
1406,38733  0,00002
1407,73315  0,00004
1409,07898  0,00003
1410,42480  0,00002
1411,77063  0,00004
1413,11646  0,00005
1414,46228  0,00005
1415,80811  0,00005
1417,15393  0,00006
1418,49976  0,00003
1419,84558  0,00006
1421,19141  0,00002
1422,53723  0,00005
1423,88306  0,00005
1425,22888  0,00004
1426,57471  0,00001
1427,92053  0,00003
1429,26636  0,00005
1430,61218  0,00003
1431,95801  0,00006
1433,30383  0,00002
1434,64966  0,00004
1435,99548  0,00001
1437,34131  0,00003
1438,68713  0,00001
1440,03296  0,00005
1441,37878  0,00000
1442,72461  0,00001
1444,07043  0,00000
1445,41626  0,00000
1446,76208  0,00000
1448,10791  0,00004
1449,45374  0,00000
1450,79956  0,00000
1452,14539  0,00000
1453,49121  0,00003
1454,83704  0,00000
1456,18286  0,00000
1457,52869  0,00001
1458,87451  0,00005
1460,22034  0,00001
1461,56616  0,00003
1462,91199  0,00002
1464,25781  0,00003
1465,60364  0,00002
1466,94946  0,00001
1468,29529  0,00003
1469,64111  0,00004
1470,98694  0,00004
1472,33276  0,00004
1473,67859  0,00005
1475,02441  0,00004
1476,37024  0,00006
1477,71606  0,00001
1479,06189  0,00006
1480,40771  0,00000
1481,75354  0,00005
1483,09937  0,00005
1484,44519  0,00004
1485,79102  0,00004
1487,13684  0,00003
1488,48267  0,00002
1489,82849  0,00003
1491,17432  0,00001
1492,52014  0,00002
1493,86597  0,00002
1495,21179  0,00001
1496,55762  0,00004
1497,90344  0,00001
1499,24927  0,00004
1500,59509  0,00000
1501,94092  0,00002
1503,28674  0,00000
1504,63257  0,00001
1505,97839  0,00000
1507,32422  0,00004
1508,67004  0,00000
1510,01587  0,00003
1511,36169  0,00000
1512,70752  0,00006
1514,05334  0,00000
1515,39917  0,00005
1516,74500  0,00001
1518,09082  0,00001
1519,43665  0,00001
1520,78247  0,00005
1522,12830  0,00002
1523,47412  0,00001
1524,81995  0,00002
1526,16577  0,00001
1527,51160  0,00003
1528,85742  0,00006
1530,20325  0,00004
1531,54907  0,00002
1532,89490  0,00005
1534,24072  0,00003
1535,58655  0,00005
1536,93237  0,00000
1538,27820  0,00006
1539,62402  0,00001
1540,96985  0,00005
1542,31567  0,00004
1543,66150  0,00004
1545,00732  0,00006
1546,35315  0,00003
1547,69897  0,00001
1549,04480  0,00003
1550,39062  0,00003
1551,73645  0,00002
1553,08228  0,00005
1554,42810  0,00001
1555,77393  0,00001
1557,11975  0,00001
1558,46558  0,00000
1559,81140  0,00000
1561,15723  0,00004
1562,50305  0,00000
1563,84888  0,00002
1565,19470  0,00000
1566,54053  0,00005
1567,88635  0,00000
1569,23218  0,00005
1570,57800  0,00000
1571,92383  0,00002
1573,26965  0,00000
1574,61548  0,00002
1575,96130  0,00001
1577,30713  0,00006
1578,65295  0,00001
1579,99878  0,00000
1581,34460  0,00002
1582,69043  0,00004
1584,03625  0,00002
1585,38208  0,00004
1586,72791  0,00003
1588,07373  0,00005
1589,41956  0,00004
1590,76538  0,00001
1592,11121  0,00005
1593,45703  0,00002
1594,80286  0,00005
1596,14868  0,00001
1597,49451  0,00006
1598,84033  0,00002
1600,18616  0,00005
1601,53198  0,00002
1602,87781  0,00004
1604,22363  0,00004
1605,56946  0,00003
1606,91528  0,00004
1608,26111  0,00003
1609,60693  0,00005
1610,95276  0,00002
1612,29858  0,00000
1613,64441  0,00001
1614,99023  0,00005
1616,33606  0,00001
1617,68188  0,00005
1619,02771  0,00000
1620,37354  0,00005
1621,71936  0,00000
1623,06519  0,00004
1624,41101  0,00000
1625,75684  0,00005
1627,10266  0,00000
1628,44849  0,00006
1629,79431  0,00000
1631,14014  0,00001
1632,48596  0,00000
1633,83179  0,00003
1635,17761  0,00001
1636,52344  0,00000
1637,86926  0,00001
1639,21509  0,00004
1640,56091  0,00002
1641,90674  0,00005
1643,25256  0,00002
1644,59839  0,00006
1645,94421  0,00003
1647,29004  0,00003
1648,63586  0,00004
1649,98169  0,00000
1651,32751  0,00005
1652,67334  0,00001
1654,01917  0,00005
1655,36499  0,00002
1656,71082  0,00006
1658,05664  0,00003
1659,40247  0,00005
1660,74829  0,00001
1662,09412  0,00004
1663,43994  0,00002
1664,78577  0,00003
1666,13159  0,00005
1667,47742  0,00003
1668,82324  0,00001
1670,16907  0,00002
1671,51489  0,00005
1672,86072  0,00001
1674,20654  0,00001
1675,55237  0,00001
1676,89819  0,00003
1678,24402  0,00001
1679,58984  0,00002
1680,93567  0,00000
1682,28149  0,00005
1683,62732  0,00000
1684,97314  0,00005
1686,31897  0,00000
1687,66479  0,00004
1689,01062  0,00000
1690,35645  0,00005
1691,70227  0,00000
1693,04810  0,00005
1694,39392  0,00001
1695,73975  0,00006
1697,08557  0,00001
1698,43140  0,00003
1699,77722  0,00002
1701,12305  0,00001
1702,46887  0,00002
1703,81470  0,00003
1705,16052  0,00003
1706,50635  0,00001
1707,85217  0,00004
1709,19800  0,00002
1710,54382  0,00005
1711,88965  0,00000
1713,23547  0,00005
1714,58130  0,00003
1715,92712  0,00006
1717,27295  0,00005
1718,61877  0,00005
1719,96460  0,00001
1721,31042  0,00004
1722,65625  0,00001
1724,00208  0,00003
1725,34790  0,00002
1726,69373  0,00003
1728,03955  0,00003
1729,38538  0,00002
1730,73120  0,00002
1732,07703  0,00001
1733,42285  0,00006
1734,76868  0,00001
1736,11450  0,00001
1737,46033  0,00000
1738,80615  0,00001
1740,15198  0,00000
1741,49780  0,00006
1742,84363  0,00000
1744,18945  0,00006
1745,53528  0,00000
1746,88110  0,00002
1748,22693  0,00000
1749,57275  0,00004
1750,91858  0,00000
1752,26440  0,00000
1753,61023  0,00001
1754,95605  0,00000
1756,30188  0,00001
1757,64771  0,00002
1758,99353  0,00002
1760,33936  0,00003
1761,68518  0,00002
1763,03101  0,00000
1764,37683  0,00003
1765,72266  0,00001
1767,06848  0,00004
1768,41431  0,00003
1769,76013  0,00004
1771,10596  0,00002
1772,45178  0,00005
1773,79761  0,00004
1775,14343  0,00006
1776,48926  0,00006
1777,83508  0,00005
1779,18091  0,00003
1780,52673  0,00004
1781,87256  0,00003
1783,21838  0,00004
1784,56421  0,00001
1785,91003  0,00003
1787,25586  0,00006
1788,60168  0,00002
1789,94751  0,00003
1791,29333  0,00001
1792,63916  0,00000
1793,98499  0,00001
1795,33081  0,00006
1796,67664  0,00001
