Frequency, Amplitude
1141,259766  0,000392
1142,605591  0,000387
1143,951416  0,000384
1145,297241  0,000378
1146,643066  0,000376
1147,988892  0,000372
1149,334717  0,000372
1150,680542  0,000365
1152,026367  0,000362
1153,372192  0,000359
1154,718018  0,000358
1156,063843  0,000351
1157,409668  0,000355
1158,755493  0,000348
1160,101318  0,000344
1161,447144  0,000346
1162,792969  0,000341
1164,138794  0,000338
1165,484619  0,000335
1166,830444  0,000333
1168,176270  0,000333
1169,522095  0,000327
1170,867920  0,000325
1172,213745  0,000327
1173,559570  0,000321
1174,905396  0,000314
1176,251221  0,000316
1177,597046  0,000314
1178,942871  0,000312
1180,288696  0,000311
1181,634521  0,000309
1182,980347  0,000306
1184,326172  0,000303
1185,671997  0,000300
1187,017822  0,000297
1188,363647  0,000297
1189,709473  0,000295
1191,055298  0,000293
1192,401123  0,000291
1193,746948  0,000288
1195,092773  0,000290
1196,438599  0,000288
1197,784424  0,000283
1199,130249  0,000283
1200,476074  0,000281
1201,821899  0,000275
1203,167725  0,000276
1204,513550  0,000274
1205,859375  0,000275
1207,205200  0,000274
1208,551025  0,000270
1209,896851  0,000268
1211,242676  0,000269
1212,588501  0,000267
1213,934326  0,000263
1215,280151  0,000261
1216,625977  0,000260
1217,971802  0,000259
1219,317627  0,000258
1220,663452  0,000258
1222,009277  0,000256
1223,355103  0,000253
1224,700928  0,000253
1226,046753  0,000251
1227,392578  0,000249
1228,738403  0,000247
1230,084229  0,000250
1231,430054  0,000246
1232,775879  0,000245
1234,121704  0,000241
1235,467529  0,000242
1236,813354  0,000239
1238,159180  0,000240
1239,505005  0,000240
1240,850830  0,000235
1242,196655  0,000235
1243,542480  0,000234
1244,888306  0,000233
1246,234131  0,000230
1247,579956  0,000232
1248,925781  0,000228
1250,271606  0,000227
1251,617432  0,000227
1252,963257  0,000225
1254,309082  0,000224
1255,654907  0,000223
1257,000732  0,000223
1258,346558  0,000222
1259,692383  0,000220
1261,038208  0,000220
1262,384033  0,000219
1263,729858  0,000218
1265,075684  0,000216
1266,421509  0,000218
1267,767334  0,000215
1269,113159  0,000214
1270,458984  0,000214
